Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G31 2RB,Yes,55.860279,-4.217435,261312,665233,NS613652,1/1/1980 12:00:00 AM,,42,54,30,"Duke Street",0.3,"",""
G31 2RD,Yes,55.860298,-4.218363,261254,665237,NS612652,1/1/1980 12:00:00 AM,,43,55,30,"Duke Street",0.4,"",""
G31 2RE,Yes,55.860591,-4.21806,261274,665269,NS612652,1/1/1980 12:00:00 AM,,45,51,31,"Duke Street",0.4,"",""
G31 2RF,Yes,55.860586,-4.217357,261318,665267,NS613652,1/1/1980 12:00:00 AM,,44,49,25,"Duke Street",0.4,"",""
G31 2RG,Yes,55.860223,-4.21609,261396,665224,NS613652,1/1/1980 12:00:00 AM,,40,40,18,"Duke Street",0.3,"",""
G31 2RJ,No,55.860892,-4.218349,261257,665303,NS612653,12/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,46,,,"Duke Street",0.4,"",""
G31 2RL,No,55.860868,-4.218667,261237,665301,NS612653,6/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,46,,,"Duke Street",0.4,"",""
G31 2RP,Yes,55.859012,-4.215909,261403,665089,NS614650,1/1/1980 12:00:00 AM,,35,43,23,"Duke Street",0.2,"",""
G31 2RQ,Yes,55.859412,-4.216171,261388,665134,NS613651,1/1/1980 12:00:00 AM,,37,13,9,"Duke Street",0.2,"",""
G31 2RR,Yes,55.859003,-4.215191,261448,665087,NS614650,1/1/1980 12:00:00 AM,,34,58,31,"Duke Street",0.1,"",""
G31 2RS,Yes,55.859311,-4.215798,261411,665122,NS614651,1/1/1980 12:00:00 AM,,36,47,29,"Duke Street",0.2,"",""
G31 2RT,Yes,55.859301,-4.214886,261468,665119,NS614651,1/1/1980 12:00:00 AM,,34,38,22,"Duke Street",0.1,"",""
G31 2RU,Yes,55.858704,-4.214549,261487,665052,NS614650,1/1/1980 12:00:00 AM,,34,49,33,"Duke Street",0.1,"",""
